5E6,377000,39200
5E7,384300,39200
5E8,391600,39200
5E9,398900,39200
5E10,406200,39200
5E11,413500,39200
5E12,420800,39200
5F12,420800,46500
5F11,413500,46500
5F10,406200,46500
5F9,398900,46500
5F8,391600,46500
5F7,384300,46500
5F6,377000,46500
5F5,369700,46500
5F4,362400,46500
5F3,355100,46500
5F2,347800,46500
5F1,340500,46500
5G1,340500,53800
5G2,347800,53800
5G3,355100,53800
5G4,362400,53800
5G5,369700,53800
5G6,377000,53800
5G7,384300,53800
5G8,391600,53800
5G9,398900,53800
5G10,406200,53800
5G11,413500,53800
5G12,420800,53800
5H12,420800,61100
5H11,413500,61100
5H10,406200,61100
5H9,398900,61100
5H8,391600,61100
5H7,384300,61100
5H6,377000,61100
5H5,369700,61100
5H4,362400,61100
5H3,355100,61100
5H2,347800,61100
5H1,340500,61100
6A1,424000,10000
6A2,431300,10000
6A3,438600,10000
6A4,445900,10000
6A5,453200,10000
6A6,460500,10000
6A7,467800,10000
6A8,475100,10000
6A9,482400,10000
6A10,489700,10000
6A11,497000,10000
6A12,504300,10000
6B12,504300,17300
6B11,497000,17300
6B10,489700,17300
6B9,482400,17300
6B8,475100,17300
6B7,467800,17300
6B6,460500,17300
6B5,453200,17300
6B4,445900,17300
6B3,438600,17300
6B2,431300,17300
6B1,424000,17300
6C1,424000,24600
6C2,431300,24600
6C3,438600,24600
6C4,445900,24600
6C5,453200,24600
6C6,460500,24600
6C7,467800,24600
6C8,475100,24600
6C9,482400,24600
6C10,489700,24600
6C11,497000,24600
6C12,504300,24600
6D12,504300,31900
6D11,497000,31900
6D10,489700,31900
6D9,482400,31900
6D8,475100,31900
6D7,467800,31900
6D6,460500,31900
6D5,453200,31900
6D4,445900,31900
6D3,438600,31900
6D2,431300,31900
6D1,424000,31900
6E1,424000,39200
6E2,431300,39200
6E3,438600,39200
6E4,445900,39200
6E5,453200,39200
6E6,460500,39200
6E7,467800,39200
6E8,475100,39200
6E9,482400,39200
6E10,489700,39200
6E11,497000,39200
6E12,504300,39200
6F12,504300,46500
6F11,497000,46500
6F10,489700,46500
6F9,482400,46500
6F8,475100,46500
6F7,467800,46500
6F6,460500,46500
6F5,453200,46500
6F4,445900,46500
6F3,438600,46500
6F2,431300,46500
6F1,424000,46500
6G1,424000,53800
6G2,431300,53800
6G3,438600,53800
6G4,445900,53800
6G5,453200,53800
6G6,460500,53800
6G7,467800,53800
6G8,475100,53800
6G9,482400,53800
6G10,489700,53800
6G11,497000,53800
6G12,504300,53800
6H12,504300,61100
6H11,497000,61100
6H10,489700,61100
6H9,482400,61100
6H8,475100,61100
6H7,467800,61100
6H6,460500,61100
6H5,453200,61100
6H4,445900,61100
6H3,438600,61100
6H2,431300,61100
6H1,424000,61100
7A1,507500,10000
7A2,514800,10000
7A3,522100,10000
7A4,529400,10000
7A5,536700,10000
7A6,544000,10000
7A7,551300,10000
7A8,558600,10000
7A9,565900,10000
7A10,573200,10000
7A11,580500,10000
7A12,587800,10000
7B12,587800,17300
7B11,580500,17300
7B10,573200,17300
7B9,565900,17300
7B8,558600,17300
7B7,551300,17300
7B6,544000,17300
7B5,536700,17300
7B4,529400,17300
7B3,522100,17300
7B2,514800,17300
7B1,507500,17300
7C1,507500,24600
7C2,514800,24600
7C3,522100,24600
7C4,529400,24600
7C5,536700,24600
7C6,544000,24600
7C7,551300,24600
7C8,558600,24600
7C9,565900,24600
7C10,573200,24600
7C11,580500,24600
7C12,587800,24600
7D12,587800,31900
7D11,580500,31900
7D10,573200,31900
7D9,565900,31900
7D8,558600,31900
7D7,551300,31900
7D6,544000,31900
7D5,536700,31900
7D4,529400,31900
7D3,522100,31900
7D2,514800,31900
7D1,507500,31900
7E1,507500,39200
7E2,514800,39200
7E3,522100,39200
7E4,529400,39200
7E5,536700,39200
7E6,544000,39200
7E7,551300,39200
7E8,558600,39200
7E9,565900,39200
7E10,573200,39200
7E11,580500,39200
7E12,587800,39200
7F12,587800,46500
7F11,580500,46500
7F10,573200,46500
7F9,565900,46500
7F8,558600,46500
7F7,551300,46500
7F6,544000,46500
7F5,536700,46500
7F4,529400,46500
7F3,522100,46500
7F2,514800,46500
7F1,507500,46500
7G1,507500,53800
7G2,514800,53800
7G3,522100,53800
7G4,529400,53800
7G5,536700,53800
7G6,544000,53800
7G7,551300,53800
7G8,558600,53800
7G9,565900,53800
7G10,573200,53800
7G11,580500,53800
7G12,587800,53800
7H12,587800,61100
7H11,580500,61100
7H10,573200,61100
7H9,565900,61100
7H8,558600,61100
7H7,551300,61100
7H6,544000,61100
7H5,536700,61100
7H4,529400,61100
7H3,522100,61100
7H2,514800,61100
7H1,507500,61100
8A1,591000,10000
8A2,598300,10000
8A3,605600,10000
8A4,612900,10000
8A5,620200,10000
8A6,627500,10000
8A7,634800,10000
8A8,642100,10000
8A9,649400,10000
8A10,656700,10000
8A11,664000,10000
8A12,671300,10000
8B12,671300,17300
8B11,664000,17300
8B10,656700,17300
8B9,649400,17300
8B8,642100,17300
8B7,634800,17300
8B6,627500,17300
8B5,620200,17300
8B4,612900,17300
8B3,605600,17300
8B2,598300,17300
8B1,591000,17300
8C1,591000,24600
8C2,598300,24600
8C3,605600,24600
8C4,612900,24600
8C5,620200,24600
8C6,627500,24600
8C7,634800,24600
8C8,642100,24600
8C9,649400,24600
8C10,656700,24600
8C11,664000,24600
8C12,671300,24600
8D12,671300,31900
8D11,664000,31900
8D10,656700,31900
8D9,649400,31900
8D8,642100,31900
8D7,634800,31900
8D6,627500,31900
8D5,620200,31900
8D4,612900,31900
8D3,605600,31900
8D2,598300,31900
8D1,591000,31900
8E1,591000,39200
8E2,598300,39200
8E3,605600,39200
8E4,612900,39200
8E5,620200,39200
8E6,627500,39200
8E7,634800,39200
8E8,642100,39200
8E9,649400,39200
8E10,656700,39200
8E11,664000,39200
8E12,671300,39200
8F12,671300,46500
8F11,664000,46500
8F10,656700,46500
8F9,649400,46500
8F8,642100,46500
8F7,634800,46500
8F6,627500,46500
8F5,620200,46500
8F4,612900,46500
8F3,605600,46500
8F2,598300,46500
8F1,591000,46500
8G1,591000,53800
8G2,598300,53800
8G3,605600,53800
8G4,612900,53800
8G5,620200,53800
